found,Found this guy on Monday near Harold A Henry Park. Any help to locate the owner would be great.    
lost,My husband lost his Gold nugget ring with diamonds. $500 reward    
lost,"Stolen Pietro Psaier Original Art ""King of Hearts"" Painting from
Nick Metropolis Collectible Furniture Store in Los Angeles, California
100 South La Brea Ave, Los Angeles, CA 90036

OWNER ""NICK"" SAID IT WAS LOST THEN CALED TO TELL ME
BOTH THE PAINTING AND ALL MY PAPER WORK
WERE MISSING AS WELL REFUSED TO OFFER ME ANYTHING
AND OR MAKE A POLICE REPORT

REWARD NO QUESTIONS ASKED
323- 360 45 60    "
lost,"drone + controller + headset

 please let me know if you know anything

show contact info
??
Thank you    "
lost,"Lost a Iraqi passport at the LAX on September 26th.
If you found it, please contact me with a picture. REWARD IF FOUND!    "
lost,"Haven't seen Greyskull since Monday, October 11th. Grey all over with beautiful green eyes. Could be stuck in garage or shed. No collar and is shy.    "
found,"I was driving past the intersection of Colorado and Verdugo in Glendale.
The bus had just pulled away when I saw that someone had left her purse
on the bus bench.  Let me know if it's your purse. 
There is no I.D. in it, but there is a very nice wallet.
There are also gift cards for Arco Gas, iHop and Olive Garden.
Drop me a line.  Let me know if it's yours and
I will have it returned to you immediately.
Email me via Craigslist or you can text me.    "
lost,"Stolen 1965 / 1966 Mustang 289
Lic Plate: RKN1966

Red Color / Black Pony Interior ::
Cragar wheels / GT Hood Scoop /

Make - Ford
Model - Mustang
Year - 1966
Color(s) - Red
License - RKN1966
VIN - 6R07C114501
text 323 360 45 60

Cash $$$ Reward with information /    "
lost,"Stolen 1965 / 1966 Mustang 289
Lic Plate: RKN1966

Red Color / Black Pony Interior ::
Cragar wheels / GT Hood Scoop /

Make - Ford
Model - Mustang
Year - 1966
Color(s) - Red
License - RKN1966
VIN - 6R07C114501
text 323 360 45 60

Cash $$$ Reward with information /    "
lost,Please contact me if anyone has found a Sandisk 128G card.  Irreplaceable photos on there. Will paid a finders fee if you can produce.    
lost,"
Black guy at CVS on 7th st
Friday night around 10.30, you were in the CVS store buying snacks with a woman. Our eyes met, but I didn?™t have a chance to speak.
You were tall, dark skinned black guy with salt & pepper big beard, maybe 50 y/o wearing a hat and a red bubble jacket. Also I?™m pretty open to meet someone with similar description.
Get at me and let me if you feel like talking. Peace    "
found,Found yesterday Sunday small brown wallet with California id for Maximo Rosales jr. Born 1978 with all of your cards. Email and I will try to get it back to you.    
found,I found a Tesla key card. Are you the one that lost it?    
found,"I found a ring on the Expo Line bike path near the Expo Line Westwood/Rancho Park station on 11/23/21. The ring has one big stone and some stones embedded in another part of the ring. If this is your ring, please reach out to me and send a picture of it or describe it to me. No reward necessary to get it back! Have a blessed day :)    "
lost,"Our dog, Charlie was lost on Sunday, 11/28/21 around 8:30 pm near the intersection of National and Sawtelle Blvd. She is 6 years old and 4 1/2 pounds with multi-colored reddish brown and black hair. She is timid, barky and makes a grunting noise. She was scheduled for a dental appointment this week. She is very loved and is a treasured part of our family. Please call if you see her  show contact info
.    "
lost,"Frankie, a female dog has been missing since 9/14/21. She was last seen directly above Stadium Way (which leads directly to and from Dodger Stadium), 20 minutes after a Dodgers/Diamondbacks game was ending. PLEASE be on the lookout for any dog that resembles Frankie. She is microchipped and spayed.

We are DESPERATE to bring her home and heartbroken without her!    "
